Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
TPMT	0.7372841784	14.12985686	6.882750043	38.71848959
TSC1	16.79601245	19.31179221	21.34850225	40.17975141
TSHR	7.306418565	0.4901838189	0.9140502388	10.91664734
TTR	4.517534241	3.506134013	-0.08424338284	-1.261990808
UMPS	32.31971052	22.93092534	31.02261205	20.6631866
UROD	4.718205781	35.06032032	25.78992609	18.3486586
XDH	-0.8180235038	-5.631226169	-5.98584916	-7.381567958
AIRE	1.31326439	10.80526796	7.595552081	2.097473942
APOB	5.163747616	-2.388104949	-2.024017743	-0.2311608672
BLMH	3.998987433	29.1117418	42.36452421	20.70633351
SLC25A20	66.49277227	14.13194606	26.19771857	1.255069586
CASR	-0.3414803053	-3.052418479	-3.766586521	-1.232457418
CDKN1A	17.13787639	19.57012866	6.826353916	4.520635291
CHM	11.19096172	12.79263821	26.38274627	77.8616836
TPP1	56.78958836	35.02181655	49.3359192	7.579283806
CSF2RB	4.425110568	20.87772829	1.024935878	-4.872169052
ERCC2	12.67192982	28.62598102	15.48068202	38.05038455
EXT2	32.5360498	23.06321595	31.07034929	31.04456435
GALE	-2.375262857	25.31187554	12.58417122	8.410879392
GM2A	38.21258073	33.89633458	64.84969611	19.98416473
GNRHR	1.64398936	4.609893691	1.730222698	7.844706591
GPD2	43.11658859	-3.197934846	-1.25541629	40.10053484
GUCA1A	8.412797904	8.614988728	-0.5829218662	18.63862265
HSD17B4	30.31104293	27.0341778	71.78429661	7.91301969
IFNGR1	22.26966873	52.16256477	64.78528762	10.27778524
IL2RA	8.392582633	-5.990978593	-2.94463076	1.774492044
KEL	4.671036763	13.28354379	41.74164314	-5.388950181
KRT17	2.890198986	11.48957563	9.94675223	6.117142896
LTBP2	5.602711403	20.58748401	10.03076145	0.332151615
PAFAH1B1	3.355475955	24.54050548	24.49439527	51.07855256
MVK	4.752050822	34.17704176	45.16316618	9.119587724
NCF2	6.450908631	47.77229786	18.11903682	3.765476344
NEU1	-13.48383335	19.70177281	7.676249627	26.46937936
NOTCH3	13.46826642	15.04652907	18.83593125	-2.045069369
OXCT1	6.215734342	18.72315303	13.41866861	76.65385673
PCSK1	-8.422115008	1.768897719	0.6356538881	39.26054483
PDE6A	-1.927140519	-4.47392379	-5.557718648	-3.913059399
PLEC	34.720826	15.31609311	11.00672265	10.96108821
PON2	118.7273556	6.718382638	18.73768564	-2.798773274
PSEN2	5.976598249	28.06125265	15.78265144	37.87026152
RAG1	-0.3349971783	5.973754493	4.758745094	-3.768998355
RFX5	22.38253018	29.70790132	23.3160321	44.98313074
SELE	8.350747386	2.513769515	0.04248335448	-3.375331923
SLC10A2	0.2186997458	1.539042007	13.68573633	-7.257928919
SOD1	3.792131989	31.78415437	22.81819679	28.18790656
STK11	15.06211781	12.86390326	6.143449952	9.643131151
SUOX	22.31139487	17.49351132	25.44226499	18.84704489
HNF4A	1.517523061	3.254011139	-0.8433756726	2.127675033
HNF1B	2.199052724	4.379970208	-0.6217107201	-2.893818421
TEK	40.78952784	10.69617058	21.02247939	17.11108132
THPO	1.695638942	7.80109157	-1.687471391	3.001060801
BARD1	26.3118084	30.05788156	39.95769794	-2.163475169
TWIST1	-1.347099825	3.79486674	-0.7636235019	2.607073059
NR0B1	33.76649521	6.626818938	11.22710149	-0.5432470655
ALB	7.724171721	5.004764975	10.71150733	1.429022275
AMPD3	15.78529626	37.59872765	91.94453537	2.809148561
AMT	26.19277791	20.24705064	17.06084418	-14.0662225
APRT	4.254959568	30.51283779	15.3862824	4.846151784
ATRX	26.8581228	14.51336176	15.3417773	51.11532825
AVP	6.463010828	-2.235873867	0.2543157335	3.667549372
C1QB	4.737690146	122.2986151	27.59381905	-2.819310582
CRYBB2	9.407877104	10.03032761	0.8612400035	0.6267819059
F12	-11.65581186	19.59387554	-4.568569742	10.31712207
F2	-0.3635764634	-3.317206109	-5.359278502	-3.329519527
FGA	7.494965856	-4.52542542	-3.690424116	-0.3110599936
FGG	0.2744646545	-6.693215242	-7.191643964	-8.155231687
FSHB	8.22750111	0.7267884421	-1.797876333	0.8256276273
GDNF	8.022645391	12.77926548	8.247240927	5.518348884
HEXB	3.671948011	19.79153137	8.921214614	31.95478686
KCNJ11	-17.91942219	14.90851405	3.079385764	9.274918829
VLDLR	-1.66071237	19.91846986	47.48072554	37.81417972
MC2R	2.514579022	1.939027832	-1.42847228	2.592825717
MPZ	10.68708802	-1.018829056	2.356913272	5.604362293
OTC	8.023023058	3.187546272	0.810715193	0.2039461785
PCCB	19.3039565	36.68215597	60.791818	15.82536138
PLP1	10.66976372	31.44386431	127.0450452	3.472943589
PMS1	19.1572941	19.1834787	23.01842954	36.87389785
RFXAP	22.81734379	-1.170179802	18.36796568	26.58173803
SAG	10.90731099	-0.02628881608	-3.306548582	6.286583214
SFTPB	-1.108367835	-1.281156548	-3.493121797	-5.589260376
SMPD1	1.380044993	35.02414156	45.94767286	7.795564414
HNF1A	-7.929534523	9.950303286	3.413982611	-7.949862573
TP53	28.20857818	22.53592806	14.392536	2.504272805
TPO	-1.691259951	10.74022369	1.026805852	-2.097959297
TSC2	5.470104375	28.64850542	23.37514771	31.31521593
TSHB	-4.765512102	12.56323934	1.576946469	-4.490535701
TYRP1	-13.89668803	4.31344606	-4.694867479	7.245683657
VHL	25.26335523	11.61288622	17.15762138	33.01192321
